Country,Child early and forced marriage,Domestic violence/Intimate partner violence,Female genital mutilation,Female genital mutilation.1,Femicide Feminicide,Forced pregnancy,Forced sterilization,Form Of Violence,Other harmful practices,Sexual harassment,Sexual violence,Stalking,Technology-facilitated violence against women,Trafficking,Violence against women and girls,tot_prev,ISO
Libya,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,LBY
Liechtenstein,0,5,0,0,0,0,0,0,0,4,3,0,0,3,6,21,LIE
Lithuania,1,20,0,0,0,0,0,0,0,0,1,0,0,2,11,35,LTU
Luxembourg,0,19,1,0,0,0,0,0,0,2,0,0,0,6,11,39,LUX
Madagascar,1,2,2,0,0,0,0,0,1,0,1,0,0,3,23,33,MDG
Malawi,1,3,0,0,0,0,0,0,0,0,0,0,0,1,18,23,MWI
Malaysia,0,4,0,0,0,0,0,0,0,0,3,0,0,10,8,25,MYS
Maldives,0,1,0,0,0,0,0,0,0,1,1,0,0,2,5,10,MDV
Mali,1,1,2,0,0,0,0,0,1,0,1,0,0,2,22,30,MLI
Malta,0,19,0,0,0,0,0,0,0,4,0,0,0,0,5,28,MLT
Marshall Islands,0,4,0,0,0,0,0,0,1,0,0,0,0,3,8,16,MHL
Mauritania,0,0,2,0,0,0,0,0,0,0,0,0,0,3,7,12,MRT
Mauritius,0,26,0,0,0,0,0,0,0,2,1,0,0,4,8,41,MUS
Mexico,0,16,0,0,5,0,0,0,0,3,0,0,0,1,32,57,MEX
Micronesia (Federated States of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,FSM
Monaco,0,4,0,0,0,0,0,0,0,1,0,0,0,1,12,18,MCO
Mongolia,0,5,0,0,0,0,0,0,0,1,1,0,0,6,10,23,MNG
Montenegro,0,11,1,0,0,0,0,0,0,0,1,0,0,4,13,30,MNE
Morocco,2,1,0,0,0,0,0,0,0,2,0,0,0,4,36,45,MAR
